ride ID,latitude,longitude,time_received,vehicle_id,distance_along_trip,inferred_direction_id,inferred_phase,inferred_route_id,inferred_trip_id,next_scheduled_stop_distance,next_scheduled_stop_id
1,40.585377,-74.09334,2014-08-01 04:00:13,4513,"9,322.83600809831",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,50.066450741032895,MTA_201110
2,40.713971,-74.014515,2014-08-01 04:00:27,5249,"8,014.12613348763",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,586.1268611229025,MTA_405124
3,40.58529,-74.09345,2014-08-01 04:00:44,4513,"9,335.35262078357",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,50.066450741032895,MTA_201110
4,40.713969,-74.014511,2014-08-01 04:00:58,5249,"8,009.96920539456",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,590.2837892159732,MTA_405124
5,40.584047,-74.095054,2014-08-01 04:01:15,4513,"9,529.36573095171",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,0,MTA_203016
6,40.713384,-74.014201,2014-08-01 04:01:30,5249,"8,113.89240772132",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,486.3605868892191,MTA_405124
7,40.582349,-74.097206,2014-08-01 04:01:50,4513,"9,792.85137934636",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,193.4760152754243,MTA_201113
8,40.713363,-74.014209,2014-08-01 04:02:01,5249,"8,118.04933581439",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,482.2036587961484,MTA_405124
9,40.579471,-74.100856,2014-08-01 04:02:21,4513,"10,234.7261891812",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,74.91786435447284,MTA_201115
10,40.711133,-74.0147,2014-08-01 04:02:33,5249,"8,367.4650213986",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,232.7879732119327,MTA_405124
11,40.576527,-74.103774,2014-08-01 04:02:52,4513,"10,641.0653428637",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,42.99165484686819,MTA_201117
12,40.711377,-74.01552,2014-08-01 04:03:04,5249,"8,458.91743944614",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,141.33555516439083,MTA_405124
13,40.573984,-74.106321,2014-08-01 04:03:24,4513,"10,999.5110960503",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,135.2060529318769,MTA_201119
14,40.710874,-74.016255,2014-08-01 04:03:37,5249,"8,575.31142605211",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,24.94156855842448,MTA_405124
15,40.571898,-74.108458,2014-08-01 04:03:55,4513,"11,297.6602405034",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,226.02101581819443,MTA_201121
16,40.710408,-74.016354,2014-08-01 04:04:08,5249,"8,626.22139178061",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,24.94156855842448,MTA_405124
17,40.570747,-74.109622,2014-08-01 04:04:27,4513,"11,460.8976408166",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,62.783615505053604,MTA_201121
18,40.71017,-74.016469,2014-08-01 04:04:39,5249,"8,655.89955997496",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,222.58626145771996,MTA_405125
19,40.570615,-74.109756,2014-08-01 04:04:59,4513,"11,473.4543639176",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,62.783615505053604,MTA_201121
20,40.708509,-74.017522,2014-08-01 04:05:10,5249,"8,859.9369663112",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,222.58626145771996,MTA_405125
21,40.568341,-74.112033,2014-08-01 04:05:31,4513,"11,795.5754121016",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,45.11230811605492,MTA_201123
22,40.708121,-74.01709,2014-08-01 04:05:42,5249,"8,901.56820832282",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,18.5488551214803,MTA_405125
23,40.566852,-74.11355,2014-08-01 04:06:02,4513,"12,004.0259754376",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,45.11230811605492,MTA_201123
24,40.70668,-74.017619,2014-08-01 04:06:13,5249,"9,115.34664135304",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,103.7946751810523,MTA_404980
25,40.565175,-74.115225,2014-08-01 04:06:34,4513,"12,239.7683691976",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,0,MTA_201124
26,40.704918,-74.017746,2014-08-01 04:06:45,5249,"9,317.44839139185",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,177.8889925997355,MTA_803164
27,40.564267,-74.116155,2014-08-01 04:07:05,4513,"12,364.9825202618",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,78.25884441512608,MTA_201126
28,40.704827,-74.017437,2014-08-01 04:07:17,5249,"9,340.85483778655",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,177.8889925997355,MTA_803164
29,40.561202,-74.119312,2014-08-01 04:07:37,4513,"12,794.4860577214",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,78.25884441512608,MTA_201126
30,40.704617,-74.014831,2014-08-01 04:07:49,5249,"9,557.28232247026",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,154.48254620503576,MTA_803164
31,40.55959,-74.123386,2014-08-01 04:08:09,4513,"13,222.8178973381",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,77.56136487457843,MTA_201129
32,40.703806,-74.014357,2014-08-01 04:08:21,5249,"9,690.70218996277",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,38.11996214071405,MTA_403953
33,40.557157,-74.1275,2014-08-01 04:08:41,4513,"13,690.3125444685",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,77.56136487457843,MTA_201129
34,40.703724,-74.014372,2014-08-01 04:08:55,5249,"9,700.23218049794",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,28.589971605542814,MTA_403953
35,40.554015,-74.13102,2014-08-01 04:09:12,4513,"14,153.4830432538",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,282.63939206599025,MTA_201133
36,40.70227,-74.013346,2014-08-01 04:09:24,5249,"9,905.33491057373",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,27.870435547927627,MTA_903077
37,40.551258,-74.134654,2014-08-01 04:09:43,4513,"14,589.8308714316",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,23.45931220541388,MTA_201135
38,40.702279,-74.013097,2014-08-01 04:09:56,5249,"9,928.56027353034",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,27.870435547927627,MTA_903077
39,40.549709,-74.137247,2014-08-01 04:10:14,4513,"14,866.0023990216",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,53.605621445211,MTA_201136
40,40.702279,-74.013096,2014-08-01 04:10:28,5249,"9,928.56027353034",1,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-137000_M104_34,4.645072591316421,MTA_903077
41,40.549737,-74.137262,2014-08-01 04:10:46,4513,"14,866.0023990216",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,53.605621445211,MTA_201136
42,40.546846,-74.14092,2014-08-01 04:11:20,4513,"15,310.8444024519",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,53.605621445211,MTA_201136
43,40.544165,-74.144398,2014-08-01 04:11:51,4513,"15,725.2712594135",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,94.05739625998103,MTA_201138
44,40.542611,-74.145793,2014-08-01 04:12:22,4513,"15,942.549795288",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,54.31963396861829,MTA_201141
45,40.540459,-74.147663,2014-08-01 04:12:53,4513,"16,229.4969278529",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,108.55949934492673,MTA_200367
46,40.536592,-74.151444,2014-08-01 04:13:24,4513,"16,760.3062831043",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,46.586942090667435,MTA_202664
47,40.53448,-74.153917,2014-08-01 04:13:56,4513,"17,081.8719939664",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,46.586942090667435,MTA_202664
48,40.704476,-74.014164,2014-08-01 04:14:11,5249,317.847499223499,0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,3.80005920190888,MTA_404983
49,40.534447,-74.153955,2014-08-01 04:14:27,4513,"17,081.8719939664",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,31.253387284450582,MTA_202856
50,40.704764,-74.014723,2014-08-01 04:14:43,5249,373.524022842743,0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,167.02957085776143,MTA_450335
51,40.531603,-74.156693,2014-08-01 04:14:58,4513,"17,474.964950131",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,31.253387284450582,MTA_202856
52,40.704895,-74.0167,2014-08-01 04:15:14,5249,579.878550129142,0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,111.35304723851732,MTA_450335
53,40.529801,-74.160652,2014-08-01 04:15:39,4513,"17,872.5981973867",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,106.50114704483713,MTA_201173
54,40.704895,-74.016703,2014-08-01 04:15:46,5249,576.078490927233,0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,68.40106563447625,MTA_404983
55,40.527179,-74.166834,2014-08-01 04:16:11,4513,"18,465.4586635358",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,84.54003834068862,MTA_201175
56,40.704895,-74.016725,2014-08-01 04:16:18,5249,579.878550129142,0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,64.60100643256737,MTA_404983
57,40.705994,-74.017986,2014-08-01 04:16:49,5249,776.486557020107,0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,64.60100643256737,MTA_404983
